municipality,group,variable,month,Total 11.7 Mujeres con primer control post parto,TOTAL
SAN PEDRO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,12,12
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
SAN RAFAEL,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
SANTA ANA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,26,26
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,319,319
SANTA ROSA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
SANTA ROSA DEL SARA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,14,14
SANTIAGO DE CALLAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
SANTIAGO DE HUARI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
SANTIAGO DE HUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
SANTIAGO DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
SANTIVAÑES,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
SANTUARIO DE QUILLACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
SAPAHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
SENA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
SHINAOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,12,12
SIPE SIPE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
SOPACHUY,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,9,9
SORATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
SUCRE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,245,245
TACACOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
TACOBAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
TACOPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
TAPACARI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
TARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,9,9
TARACO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
TARATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,8,8
TARIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,99,99
TARVITA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,11,11
TEOPONTE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,9,9
TIPUANI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,12,12
TIQUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
TIRAQUE (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,12,12
TOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
TOLATA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
TOLEDO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
TOMAVE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,7,7
TOMINA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
TORO TORO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
TOTORA(CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
TOTORA(ORR),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
TRIGAL,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
TRINIDAD,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,12,12
TUPIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
TURCO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
UMALA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
UNCIA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
URIONDO (A. CONCEPCION),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
UYUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
VACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
VALLEGRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,27,27
VIACHA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
VILA VILA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
VILLA CHARCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,17,17
VILLA MONTES,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,105,105
VILLA RIVERO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,7,7
VILLA SERRANO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
VILLA TUNARI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,47,47
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,5,5
VILLAZON,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,60,60
VINTO,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
WARNES,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
YACUIBA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,10,10
YAMPARAEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,6,6
YANACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,1,1
YOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,2,2
YOTALA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,4,4
YUNCHARA,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,3,3
ZUDAÑEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-10-01,13,13
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,3,3
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,36,36
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,8,8
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,32,32
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,4,4
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,3,3
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,4,4
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,7,7
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,2,2
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,15,15
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,18,18
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,20,20
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,7,7
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,7,7
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,6,6
BELLA FLOR,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,3,3
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,5,5
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,21,21
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,5,5
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,4,4
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,16,16
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,3,3
"CAIZA ""D""",atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,2,2
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,8,8
CALACOTO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
CALAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,7,7
CAMARGO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,31,31
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,3,3
CAPINOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,4,4
CAQUIAVIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
CARACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,14,14
CARANAVI,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,14,14
CARAPARI,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,5,5
CARIPUYO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,4,4
CATACORA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
CHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,7,7
CHARAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,26,26
CHARAÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
CHIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
CHOQUE COTA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,28,28
CKOCHAS,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,3,3
COBIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,123,123
COCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,3,3
COCHABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,165,165
"COLCHA ""K""",atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,4,4
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,12,12
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,6,6
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,10,10
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,2,2
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,10,10
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,2,2
CONCEPCION,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
COPACABANA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,9,9
CORIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,12,12
CORO CORO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,30,30
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,8,8
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,94,94
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
CUEVO,atencion de partos en servicios,mujeres con primer control post parto,2014-11-01,1,1
