municipality,group,variable,month,Total 13.8 Días camas ocupadas otros servicios,TOTAL
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,81,81
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,62,62
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,338,338
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,365,365
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,15,15
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,81,81
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,114,114
SAN PEDRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,19,19
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,12,12
SAN PEDRO DE TIQUINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,55,55
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,28,28
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,106,106
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,254,254
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,20044,20044
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,37,37
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,67,67
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1,1
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,29,29
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,33,33
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,11,11
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,24088,24088
TACACOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,28,28
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,7,7
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,191,191
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,10833,10833
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,15,15
TIAWANACU,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,9,9
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,219,219
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,4,4
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,18,18
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,25,25
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,3203,3203
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1176,1176
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,15,15
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,400,400
VILLA CHARCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,54,54
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,558,558
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,7,7
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,5,5
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,805,805
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,11,11
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,714,714
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,170,170
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,1475,1475
YAMPARAEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,9,9
YANACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,4,4
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,544,544
YOTALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,8,8
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-11-01,41,41
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,116,116
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,139,139
ANTEQUERA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,2,2
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,8,8
ARQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,3,3
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,71,71
AUCAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1,1
AYO AYO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,93,93
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,78,78
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,99,99
BELLA FLOR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1,1
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,595,595
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,33,33
BOLIVAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,2,2
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,46,46
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,34,34
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,74,74
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,59,59
CAJUATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,31,31
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,291,291
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1026,1026
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,72,72
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,39,39
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,398,398
CHALLAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,185,185
CHAYANTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,8,8
CHIMORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1,1
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,115,115
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1412,1412
COCAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,2,2
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,31876,31876
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,189,189
"COLCHA ""K""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,3,3
COLOMI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1,1
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,58,58
CONCEPCION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,41,41
COPACABANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,3,3
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,448,448
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,38,38
COTOCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,144,144
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,156,156
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,49,49
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,6528,6528
EL TORNO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,870,870
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,126,126
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,14,14
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,39,39
EXALTACION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,3,3
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,72,72
FILADELFIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,4,4
GUANAY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1,1
GUAQUI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1,1
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1133,1133
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,56,56
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,140,140
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,7,7
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,15,15
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,6,6
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,8,8
INCAHUASI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1,1
INQUISIVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,3,3
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,57,57
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,13,13
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,15,15
LA ASUNTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,28,28
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,39374,39374
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,23,23
LLALLAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,564,564
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,126,126
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,20,20
MINEROS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,147,147
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,86,86
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,17,17
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,531,531
MONTERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,1877,1877
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,2,2
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,25,25
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,8490,8490
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,305,305
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,69,69
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,30,30
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,6,6
PATACAMAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,28,28
POJO (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,6,6
PORTACHUELO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,634,634
PORVENIR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,3,3
POTOSI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,6241,6241
PRESTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,19,19
PUCARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,36,36
PUERTO RICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,29,29
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,465,465
PUNA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,9,9
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,856,856
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,224,224
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,6,6
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,46,46
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,2888,2888
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,174,174
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,372,372
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,811,811
SACABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,10,10
SACACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,5,5
SAN AGUSTIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,5,5
SAN BENITO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,3,3
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,217,217
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,38,38
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,642,642
SAN JAVIER(BNI),internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,2,2
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,60,60
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,37,37
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,218,218
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-12-01,7,7
