municipality,group,variable,month,l 13.8 Días camas ocupadas otros servicios,TOTAL
PORTACHUELO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,633,633
PORVENIR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,8,8
POTOSI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,6679,6679
PRESTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,9,9
PUERTO GONZALO MORENO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,7,7
PUERTO QUIJARRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,71,71
PUERTO RICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,55,55
PUERTO SILES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,5,5
PUERTO SUAREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,288,288
PUERTO VILLARROEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,324,324
PUNA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,31,31
PUNATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,844,844
QUIABAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
QUILLACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,121,121
QUIME,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2,2
QUIRUSILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,6,6
REYES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,45,45
RIBERALTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2197,2197
ROBORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,240,240
RURRENABAQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,346,346
SACABA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,995,995
SACABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,15,15
SACACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,48,48
SAIPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,7,7
SAMAIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,72,72
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,15,15
SAN BORJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,358,358
SAN BUENA VENTURA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,91,91
SAN CARLOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1438,1438
SAN IGNACIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,202,202
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1122,1122
SAN JAVIER(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,62,62
SAN JOAQUIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,34,34
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,142,142
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,328,328
SAN JULIAN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,621,621
SAN LORENZO(PND),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
SAN LUCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,148,148
SAN MATIAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,39,39
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,67,67
SAN PEDRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1727,1727
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,8,8
SAN RAFAEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,73,73
SAN RAMON BENI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,67,67
SAN RAMON SCZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,38,38
SANTA ANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,219,219
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,29940,29940
SANTA ROSA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,83,83
SANTA ROSA DEL SARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,19,19
SANTIAGO DE HUARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,3,3
SANTIAGO DE MACHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,62,62
SENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2,2
SHINAOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,240,240
SICA SICA (VILLA AROMA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,4,4
SOPACHUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,115,115
SORACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2,2
SORATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,4,4
SUCRE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,24999,24999
TACOPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,5,5
TAPACARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,3,3
TARABUCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,456,456
TARIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,9236,9236
TARVITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,50,50
TEOPONTE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,24,24
TIPUANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,115,115
TIQUIPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,177,177
TIRAQUE (CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
TOCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1,1
TOLATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,19,19
TOLEDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,4,4
TOMAVE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,60,60
TOMINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,33,33
TORO TORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,5,5
TOTORA(CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,72,72
TRIGAL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,11,11
TRINIDAD,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2406,2406
TUPIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,582,582
UNCIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,4,4
URIONDO (A. CONCEPCION),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,3,3
URUBICHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,58,58
UYUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,344,344
VACAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,2,2
VALLEGRANDE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,362,362
VIACHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,216,216
VILA VILA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,7,7
VILLA MONTES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,493,493
VILLA RIVERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,13,13
VILLA SERRANO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,9,9
VILLA TUNARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,781,781
VILLAZON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,453,453
VINTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,105,105
VITICHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,6,6
WARNES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,482,482
YACUIBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,1872,1872
YAMPARAEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,23,23
YANACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,14,14
YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,449,449
YOTALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,18,18
ZUDAÑEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-05-01,20,20
ACHACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,86,86
AIQUILE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,268,268
ALCALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,3,3
ANDAMARCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,2,2
ANZALDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,2,2
APOLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,4,4
ARAMPAMPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,380,380
ATOCHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,432,432
AYATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,68,68
AZURDUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,43,43
BATALLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,2,2
BAURES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,47,47
BERMEJO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,364,364
BETANZOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,14,14
BOYUIBE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,35,35
BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,25,25
CAMARGO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,507,507
CAMIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1357,1357
CAPINOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,42,42
CARACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,16,16
CARANAVI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,400,400
CARAPARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,12,12
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,22,22
CHALLAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,120,120
CHARAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,181,181
CHAYANTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,22,22
CHIMORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,18,18
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,211,211
CLIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,65,65
COBIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1358,1358
COCAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,2,2
COCHABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,27830,27830
COLCAPIRHUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,246,246
COLOMI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1,1
COLPA BELGICA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,60,60
COLQUIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,8,8
COMARAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,664,664
CONCEPCION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,72,72
COPACABANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,8,8
CORIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,3,3
CORO CORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,3,3
COROICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,355,355
COTAGAITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,20,20
COTOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,207,207
CUATRO CAÑADAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,159,159
CUEVO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,4,4
CULPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,46,46
EL ALTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,7583,7583
EL PUENTE(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,13,13
EL PUENTE(TJA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,30,30
EL TORNO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,837,837
EL VILLAR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1,1
ENTRE RIOS TRJ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,104,104
ENTRE RIOS CBBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,17,17
ESCOMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,58,58
EUCALIPTUS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,4,4
EXALTACION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,5,5
FERNANDEZ ALONSO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,223,223
FILADELFIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,11,11
GENERAL SAAVEDRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,37,37
