,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS PRIMERA,NIÑOS DE 1 A 4 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,34,27,2,0,3,3,61,2,63
MACHARETI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,78,98,1,8,6,1,176,9,185
MAGDALENA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,80,67,14,16,21,15,147,30,177
MAIRANA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,114,125,28,33,0,0,239,61,300
MALLA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,19,22,0,0,0,0,41,0,41
MAPIRI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,153,159,44,27,0,0,312,71,383
MECAPACA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,49,49,30,30,10,6,98,60,158
MINEROS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,201,167,33,23,10,5,368,56,424
MIZQUE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,255,236,74,76,39,24,491,150,641
MOCOMOCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,95,63,28,15,0,0,158,43,201
MOJINETE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,8,4,2,0,0,0,12,2,14
MOJOCOYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,57,57,10,8,0,0,114,18,132
MONTEAGUDO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,336,247,110,79,7,8,583,189,772
MONTERO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1980,1717,414,296,0,3,3697,710,4407
MORO MORO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,19,17,3,0,0,0,36,3,39
MOROCHATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,75,47,0,0,10,11,122,0,122
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,36,48,1,2,0,0,84,3,87
NAZACARA DE PACAJES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,5,1,0,1,0,0,6,1,7
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,29,45,0,0,0,0,74,0,74
OCURI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,90,110,2,4,0,0,200,6,206
OKINAWA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,130,130,22,33,0,0,260,55,315
OMEREQUE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,82,89,15,8,0,0,171,23,194
ORURO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,2791,2539,744,691,290,263,5330,1435,6765
PADCAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,228,187,21,13,21,10,415,34,449
PADILLA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,126,148,9,12,0,0,274,21,295
PAILON,consulta externa,ninos  de 1 a 4 anos,2024-11-01,417,312,89,57,1,2,729,146,875
PALCA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,188,151,5,6,38,29,339,11,350
PALOS BLANCOS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,444,421,49,54,0,0,865,103,968
PAMPA AULLAGAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,20,22,1,2,0,0,42,3,45
PAMPA GRANDE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,85,66,8,1,0,0,151,9,160
PAPEL PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,35,44,2,2,0,0,79,4,83
PASORAPA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,28,42,6,19,1,0,70,25,95
PATACAMAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,161,122,7,16,22,20,283,23,306
PAZÑA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,46,46,4,4,0,0,92,8,100
PELECHUCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,132,138,6,10,2,2,270,16,286
POCOATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,156,145,2,0,0,0,301,2,303
POCONA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,99,77,32,22,4,5,176,54,230
POJO (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,82,90,35,25,19,11,172,60,232
POOPO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,69,80,33,20,0,3,149,53,202
PORCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,103,90,0,2,0,0,193,2,195
POROMA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,176,127,27,30,3,2,303,57,360
PORONGO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,118,103,81,66,0,0,221,147,368
PORTACHUELO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,84,91,77,51,13,13,175,128,303
PORVENIR,consulta externa,ninos  de 1 a 4 anos,2024-11-01,78,71,6,5,0,0,149,11,160
POSTRER VALLE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,2,6,0,0,0,0,8,0,8
POTOSI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1998,1768,251,238,209,211,3766,489,4255
PRESTO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,93,118,0,0,0,0,211,0,211
PUCARA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,14,9,4,1,0,0,23,5,28
PUCARANI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,280,282,14,26,0,0,562,40,602
PUERTO ACOSTA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,51,29,4,4,0,0,80,8,88
PUERTO CARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,103,98,2,1,0,0,201,3,204
PUERTO GONZALO MORENO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,90,98,38,41,3,2,188,79,267
PUERTO PEREZ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,35,45,23,17,0,0,80,40,120
PUERTO QUIJARRO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,147,177,8,11,16,24,324,19,343
PUERTO RICO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,48,51,0,1,0,0,99,1,100
PUERTO SILES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,16,10,2,1,0,4,26,3,29
PUERTO SUAREZ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,137,129,8,29,12,9,266,37,303
PUERTO VILLARROEL,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1173,1159,81,79,13,13,2332,160,2492
PUNA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,126,114,5,3,11,10,240,8,248
PUNATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,404,327,283,275,1,2,731,558,1289
QUIABAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,57,46,1,2,0,0,103,3,106
QUILLACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1601,1458,616,595,4,6,3059,1211,4270
QUIME,consulta externa,ninos  de 1 a 4 anos,2024-11-01,68,37,12,13,0,0,105,25,130
QUIRUSILLAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,20,21,0,0,0,0,41,0,41
RAQAYPAMPA(ETA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,47,60,17,17,3,5,107,34,141
RAVELO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,93,108,0,0,0,0,201,0,201
REYES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,107,118,4,0,0,0,225,4,229
RIBERALTA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1199,1038,125,135,109,111,2237,260,2497
ROBORE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,138,126,14,21,3,1,264,35,299
RURRENABAQUE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,203,169,36,16,7,10,372,52,424
SABAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,42,33,4,2,3,4,75,6,81
SACABA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1867,1767,365,298,183,208,3634,663,4297
SACABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,22,25,9,10,0,0,47,19,66
SACACA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,148,149,5,2,8,6,297,7,304
SAIPINA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,69,58,25,26,0,0,127,51,178
SALINAS DE GARCI MENDOZA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,50,63,3,0,3,5,113,3,116
SAMAIPATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,100,86,7,10,0,0,186,17,203
SAN AGUSTIN,consulta externa,ninos  de 1 a 4 anos,2024-11-01,17,18,0,0,0,0,35,0,35
SAN ANDRES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,106,116,31,24,2,2,222,55,277
SAN ANDRES DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,12,14,11,18,0,0,26,29,55
SAN ANTONIO DE ESMORUCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,20,24,2,1,2,2,44,3,47
SAN ANTONIO DE LOMERIO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,71,50,4,2,0,9,121,6,127
SAN BENITO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,125,95,31,24,0,0,220,55,275
SAN BORJA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,471,435,95,88,126,111,906,183,1089
SAN BUENA VENTURA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,113,93,9,8,0,0,206,17,223
SAN CARLOS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,139,113,35,41,0,0,252,76,328
SAN IGNACIO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,153,147,7,2,33,39,300,9,309
SAN IGNACIO DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,592,507,59,46,0,1,1099,105,1204
SAN JAVIER(BNI),consulta externa,ninos  de 1 a 4 anos,2024-11-01,35,19,8,2,0,0,54,10,64
SAN JAVIER(STC),consulta externa,ninos  de 1 a 4 anos,2024-11-01,71,77,0,0,0,0,148,0,148
SAN JOAQUIN,consulta externa,ninos  de 1 a 4 anos,2024-11-01,17,21,0,1,0,0,38,1,39
SAN JOSE DE CHIQUITOS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,131,148,13,9,2,0,279,22,301
SAN JUAN DE YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,99,79,2,2,0,0,178,4,182
SAN JULIAN,consulta externa,ninos  de 1 a 4 anos,2024-11-01,518,461,122,103,2,2,979,225,1204
SAN LORENZO(PND),consulta externa,ninos  de 1 a 4 anos,2024-11-01,100,100,0,2,0,0,200,2,202
SAN LORENZO(TJA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,270,290,15,20,0,0,560,35,595
SAN LUCAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,404,303,25,13,4,10,707,38,745
SAN MATIAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,132,108,5,15,12,8,240,20,260
SAN MIGUEL DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,74,83,9,7,0,0,157,16,173
SAN PABLO DE LIPEZ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,34,30,0,0,0,0,64,0,64
SAN PEDRO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,206,192,7,15,32,32,398,22,420
SAN PEDRO DE BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,210,198,0,0,0,0,408,0,408
SAN PEDRO DE CURAHUARA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,34,35,1,2,5,8,69,3,72
SAN PEDRO DE MACHA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,141,133,0,0,0,0,274,0,274
SAN PEDRO DE QUEMES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,2,12,0,2,0,0,14,2,16
SAN PEDRO DE TIQUINA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,25,44,20,28,0,0,69,48,117
SAN PEDRO(PND),consulta externa,ninos  de 1 a 4 anos,2024-11-01,23,28,0,0,0,0,51,0,51
SAN RAFAEL,consulta externa,ninos  de 1 a 4 anos,2024-11-01,103,78,51,49,0,0,181,100,281
SAN RAMON BENI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,3,7,5,9,19,26,10,14,24
SAN RAMON SCZ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,63,47,1,1,0,0,110,2,112
SANTA ANA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,139,139,37,37,0,0,278,74,352
SANTA CRUZ DE LA SIERRA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,8147,7495,2876,2687,591,544,15642,5563,21205
SANTA ROSA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,75,82,0,3,3,2,157,3,160
SANTA ROSA DEL SARA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,192,174,7,4,16,26,366,11,377
SANTIAGO DE CALLAPA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,31,29,6,5,0,0,60,11,71
SANTIAGO DE HUARI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,71,78,10,3,0,2,149,13,162
SANTIAGO DE HUATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,23,30,4,4,0,0,53,8,61
SANTIAGO DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,17,19,2,4,0,0,36,6,42
SANTIVAÑES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,87,84,8,4,0,0,171,12,183
SANTUARIO DE QUILLACAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,14,10,2,0,24,18,24,2,26
SAPAHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,65,47,13,9,0,0,112,22,134
SENA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,107,148,0,0,0,0,255,0,255
SHINAOTA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,326,355,34,35,6,9,681,69,750
SICA SICA (VILLA AROMA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,118,130,6,10,0,0,248,16,264
SICAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,58,53,5,10,0,0,111,15,126
SIPE SIPE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,648,619,212,193,0,0,1267,405,1672
SOPACHUY,consulta externa,ninos  de 1 a 4 anos,2024-11-01,105,118,11,30,0,0,223,41,264
SORACACHI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,65,81,2,1,1,0,146,3,149
SORATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,135,116,26,33,16,13,251,59,310
SUCRE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,3046,2704,711,517,59,69,5750,1228,6978
TACACHI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,8,10,0,0,0,0,18,0,18
TACACOMA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,66,78,14,17,0,0,144,31,175
TACOBAMBA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,83,60,0,0,3,2,143,0,143
TACOPAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,37,34,4,1,0,0,71,5,76
TAHUA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,12,10,0,0,0,0,22,0,22
TAPACARI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,198,148,27,27,0,0,346,54,400
TARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,186,217,0,7,0,0,403,7,410
TARACO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,36,39,4,2,0,0,75,6,81
TARATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,72,85,9,4,0,0,157,13,170
TARIJA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,2328,2120,615,589,102,89,4448,1204,5652
TARVITA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,257,239,10,16,2,0,496,26,522
TEOPONTE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,98,92,21,17,0,0,190,38,228
TIAHUANACU,consulta externa,ninos  de 1 a 4 anos,2024-11-01,58,70,38,36,0,0,128,74,202
TINGUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,119,120,0,0,19,31,239,0,239
TIPUANI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,82,77,11,11,0,0,159,22,181
TIQUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,930,990,104,96,0,0,1920,200,2120
TIRAQUE (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,144,111,99,63,0,0,255,162,417
TITO YUPANQUI (PARQUIPUJIO),consulta externa,ninos  de 1 a 4 anos,2024-11-01,5,15,0,2,0,0,20,2,22
TOCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,50,43,25,11,0,0,93,36,129
TODOS SANTOS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,2,5,0,0,0,0,7,0,7
TOLATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,75,55,43,37,0,0,130,80,210
TOLEDO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,33,46,2,6,0,0,79,8,87
TOMAVE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,64,54,3,1,0,0,118,4,122
TOMINA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,148,144,10,4,0,0,292,14,306
TORO TORO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,81,79,7,1,17,9,160,8,168
TOTORA(CBBA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,165,154,17,14,5,6,319,31,350
TOTORA(ORR),consulta externa,ninos  de 1 a 4 anos,2024-11-01,42,25,2,1,0,2,67,3,70
TRIGAL,consulta externa,ninos  de 1 a 4 anos,2024-11-01,8,12,0,0,0,0,20,0,20
TRINIDAD,consulta externa,ninos  de 1 a 4 anos,2024-11-01,779,574,145,129,52,56,1353,274,1627
TUPIZA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,376,365,38,40,7,7,741,78,819
TURCO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,31,27,3,2,0,0,58,5,63
UMALA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,27,43,19,18,5,12,70,37,107
UNCIA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,191,166,11,9,9,11,357,20,377
URIONDO (A. CONCEPCION),consulta externa,ninos  de 1 a 4 anos,2024-11-01,231,231,39,60,64,63,462,99,561
URUBICHA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,63,78,3,2,0,1,141,5,146
UYUNI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,247,247,43,28,7,8,494,71,565
VACAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,57,59,2,3,0,0,116,5,121
VALLEGRANDE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,100,146,99,105,9,3,246,204,450
VIACHA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,567,467,111,109,40,30,1034,220,1254
VILA VILA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,61,62,10,13,0,0,123,23,146
VILLA CHARCAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,149,115,3,0,7,4,264,3,267
VILLA MONTES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,490,434,39,20,18,21,924,59,983
VILLA NUEVA (LOMA ALTA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,33,42,2,4,0,0,75,6,81
VILLA RIVERO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,95,91,13,17,0,0,186,30,216
VILLA SERRANO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,129,120,16,21,0,0,249,37,286
VILLA TUNARI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1457,1439,153,119,38,42,2896,272,3168
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,97,108,19,21,0,0,205,40,245
VILLAZON,consulta externa,ninos  de 1 a 4 anos,2024-11-01,253,208,16,27,46,28,461,43,504
VINTO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,724,713,168,161,0,0,1437,329,1766
VITICHI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,59,53,0,0,2,1,112,0,112
WALDO BALLIVIAN,consulta externa,ninos  de 1 a 4 anos,2024-11-01,15,12,24,22,0,0,27,46,73
WARNES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1422,1314,190,176,11,3,2736,366,3102
YACO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,74,57,18,12,22,16,131,30,161
YACUIBA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1444,1379,219,204,208,175,2823,423,3246
YAMPARAEZ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,128,118,24,3,2,1,246,27,273
YANACACHI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,53,38,2,1,2,6,91,3,94
YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,581,516,42,61,9,11,1097,103,1200
YOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,51,43,0,1,0,0,94,1,95
YOTALA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,121,94,29,36,27,19,215,65,280
YUNCHARA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,66,73,3,6,1,0,139,9,148
YUNGUYO DE LITORAL,consulta externa,ninos  de 1 a 4 anos,2024-11-01,9,8,0,0,0,0,17,0,17
ZUDAÑEZ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,87,117,24,35,0,0,204,59,263
ACACIO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,28,31,0,0,0,0,59,0,59
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2024-12-01,144,138,40,32,5,2,282,72,354
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,152,130,74,86,0,0,282,160,442
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2024-12-01,153,119,80,68,28,21,272,148,420
ALALAY,consulta externa,ninos  de 1 a 4 anos,2024-12-01,9,8,15,11,2,0,17,26,43
ALCALA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,51,44,2,1,4,3,95,3,98
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2024-12-01,152,133,2,4,0,0,285,6,291
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2024-12-01,26,19,7,8,8,1,45,15,60
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,20,15,1,1,0,0,35,2,37
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,15,17,3,6,0,0,32,9,41
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,31,49,2,5,1,0,80,7,87
APOLO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,175,174,40,40,5,7,349,80,429
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,15,10,1,1,0,0,25,2,27
ARANI,consulta externa,ninos  de 1 a 4 anos,2024-12-01,68,60,6,7,0,0,128,13,141
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,216,234,29,27,0,0,450,56,506
ARQUE,consulta externa,ninos  de 1 a 4 anos,2024-12-01,147,145,0,1,0,0,292,1,293
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2024-12-01,227,139,10,6,161,124,366,16,382
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,157,162,14,11,3,5,319,25,344
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,53,67,1,2,3,1,120,3,123
AYATA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,81,74,7,5,1,6,155,12,167
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,39,51,7,13,0,0,90,20,110
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2024-12-01,247,222,13,9,7,7,469,22,491
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2024-12-01,181,162,37,28,0,0,343,65,408
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2024-12-01,74,51,19,22,0,0,125,41,166
BAURES,consulta externa,ninos  de 1 a 4 anos,2024-12-01,43,23,2,0,2,0,66,2,68
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,8,5,0,0,2,1,13,0,13
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2024-12-01,12,8,1,1,0,0,20,2,22
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2024-12-01,56,58,7,12,1,2,114,19,133
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,551,505,45,35,3,4,1056,80,1136
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2024-12-01,218,200,13,16,0,0,418,29,447
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2024-12-01,46,31,4,4,0,0,77,8,85
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,18,16,0,0,0,0,34,0,34
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,131,129,7,10,1,0,260,17,277
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,70,64,2,3,9,12,134,5,139
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2024-12-01,52,74,0,3,38,26,126,3,129
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,82,91,12,7,11,32,173,19,192
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,30,37,1,1,3,7,67,2,69
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,79,62,1,0,0,0,141,1,142
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,187,156,33,41,0,0,343,74,417
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2024-12-01,38,25,1,1,0,0,63,2,65
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,262,266,25,30,0,0,528,55,583
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2024-12-01,72,56,21,19,0,0,128,40,168
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,229,204,6,13,8,3,433,19,452
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2024-12-01,499,369,158,69,1,1,868,227,1095
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-12-01,2,1,0,0,0,0,3,0,3
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2024-12-01,185,154,22,16,0,0,339,38,377
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2024-12-01,39,32,0,2,0,0,71,2,73
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2024-12-01,31,32,8,7,0,0,63,15,78
CATACORA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,12,11,1,0,0,0,23,1,24
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,12,7,0,0,7,7,19,0,19
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,155,151,17,9,24,16,306,26,332
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-12-01,43,51,0,1,0,0,94,1,95
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,95,91,0,0,0,0,186,0,186
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,20,26,6,11,0,0,46,17,63
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2024-12-01,115,125,4,5,0,0,240,9,249
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2024-12-01,439,411,28,35,46,50,850,63,913
