municipality,group,variable,month,10. Días camas disponibles otros servicios,TOTAL
VILLA RIVERO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
VILLA SERRANO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,360,360
VILLA TUNARI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,4091,4091
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,150,150
VILLAZON,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1294,1294
VINTO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1560,1560
VITICHI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,60,60
WARNES,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,1977,1977
YACO,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,180,180
YACUIBA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,8629,8629
YAMPARAEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,270,270
YANACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,30,30
YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,788,788
YOTALA,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,150,150
ZUDAÑEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-11-01,240,240
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,589,589
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,837,837
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,124,124
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,62,62
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,242,242
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,310,310
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,122,122
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,31,31
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,372,372
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,2071,2071
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,118,118
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,744,744
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,775,775
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,35,35
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,155,155
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,2375,2375
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,31,31
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,368,368
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,328,328
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,183,183
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,1208,1208
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,186,186
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,806,806
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,155,155
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,868,868
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,775,775
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,62,62
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,309,309
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,1860,1860
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,217,217
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,713,713
CHIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,30,30
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,837,837
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,62,62
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,310,310
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,558,558
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,5705,5705
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,310,310
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,51110,51110
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,6603,6603
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,554,554
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,186,186
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,496,496
COLQUENCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,31,31
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,2,2
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,550,550
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,124,124
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,992,992
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,465,465
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,1860,1860
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,558,558
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,31,31
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,434,434
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,248,248
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,62,62
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,23459,23459
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,899,899
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,1332,1332
ESCARA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,31,31
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,248,248
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,62,62
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,142,142
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,179,179
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,124,124
GUAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,2542,2542
HUACARAJE,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,62,62
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,864,864
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,279,279
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,1736,1736
HUARINA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,155,155
HUATAJATA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,124,124
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,465,465
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,372,372
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,180,180
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,527,527
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,2553,2553
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,78970,78970
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,371,371
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,1085,1085
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,29,29
LORETO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,26,26
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,186,186
MACHACAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,403,403
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,248,248
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,155,155
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,899,899
MOCOMOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,85,85
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,310,310
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,2208,2208
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,13362,13362
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,60,60
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,1333,1333
OKINAWA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,372,372
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,186,186
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,23982,23982
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,589,589
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,237,237
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,92,92
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,310,310
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,93,93
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,62,62
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,186,186
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,186,186
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,713,713
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,341,341
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,308,308
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,92,92
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,62,62
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,992,992
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,390,390
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,2218,2218
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,20464,20464
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,527,527
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,465,465
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,30,30
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,31,31
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,48,48
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,523,523
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,240,240
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,324,324
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,806,806
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,620,620
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,2635,2635
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,3919,3919
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,186,186
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,713,713
REYES,internaciones dias camas,dias camas disponibles otros servicios,2024-12-01,186,186
